[45/1000] 22.60 sec(s) Train Acc: 0.84638 | Val Acc: 0.86440 | Train Loss: 0.44204 | Val Loss: 0.38972 -> val best (acc)
[46/1000] 22.78 sec(s) Train Acc: 0.85136 | Val Acc: 0.86080 | Train Loss: 0.43458 | Val Loss: 0.39717
[47/1000] 22.67 sec(s) Train Acc: 0.85318 | Val Acc: 0.86420 | Train Loss: 0.42352 | Val Loss: 0.40730
[48/1000] 22.97 sec(s) Train Acc: 0.85610 | Val Acc: 0.86680 | Train Loss: 0.42053 | Val Loss: 0.38777 -> val best (acc)
[49/1000] 22.92 sec(s) Train Acc: 0.85908 | Val Acc: 0.85140 | Train Loss: 0.41400 | Val Loss: 0.41971
[50/1000] 22.54 sec(s) Train Acc: 0.85946 | Val Acc: 0.86220 | Train Loss: 0.41063 | Val Loss: 0.40821
[51/1000] 22.43 sec(s) Train Acc: 0.86130 | Val Acc: 0.86200 | Train Loss: 0.40193 | Val Loss: 0.39631
[52/1000] 22.84 sec(s) Train Acc: 0.86320 | Val Acc: 0.85320 | Train Loss: 0.39531 | Val Loss: 0.40956
[53/1000] 22.99 sec(s) Train Acc: 0.86552 | Val Acc: 0.86480 | Train Loss: 0.39094 | Val Loss: 0.39825
[54/1000] 22.90 sec(s) Train Acc: 0.86528 | Val Acc: 0.86140 | Train Loss: 0.38654 | Val Loss: 0.39515
[55/1000] 23.07 sec(s) Train Acc: 0.87020 | Val Acc: 0.85280 | Train Loss: 0.37195 | Val Loss: 0.42379
[56/1000] 22.68 sec(s) Train Acc: 0.87020 | Val Acc: 0.87200 | Train Loss: 0.37138 | Val Loss: 0.38242 -> val best (acc)
[57/1000] 22.59 sec(s) Train Acc: 0.87546 | Val Acc: 0.87020 | Train Loss: 0.36237 | Val Loss: 0.38290
[58/1000] 22.85 sec(s) Train Acc: 0.87578 | Val Acc: 0.86940 | Train Loss: 0.35894 | Val Loss: 0.39136
[59/1000] 22.79 sec(s) Train Acc: 0.87622 | Val Acc: 0.86700 | Train Loss: 0.35853 | Val Loss: 0.39033
